,title,href,date_time,source
0,Названы причины расстрела солдат сослуживцем в Забайкалье,https://lenta.ru/news/2019/10/29/version/,2019-10-29 23:05:00,lenta.ru
1,Турция отказалась от покупки российских Су-35,https://lenta.ru/news/2019/10/29/su35/,2019-10-29 22:54:00,lenta.ru
2,Семин раскрыл содержание разговора с Роналду после матча в Лиге чемпионов,https://lenta.ru/news/2019/10/29/semin/,2019-10-29 22:35:00,lenta.ru
3,Россияне осадили детский сад после избиения девочки на глазах у педагога,https://lenta.ru/news/2019/10/29/parents/,2019-10-29 22:20:00,lenta.ru
4,Российского рэпера обстреляли после концерта,https://lenta.ru/news/2019/10/29/rap/,2019-10-29 22:11:00,lenta.ru
5,В сеть утекла самая большая в истории база банковских карт,https://lenta.ru/news/2019/10/29/kartochki/,2019-10-29 22:02:00,lenta.ru
6,Профессор-филолог из ВШЭ оправдался за слова об убогом русском языке,https://lenta.ru/news/2019/10/29/guseinov/,2019-10-29 21:33:00,lenta.ru
7,Стало известно о проблемах со здоровьем у расстрелявшего сослуживцев солдата,https://lenta.ru/news/2019/10/29/soldat/,2019-10-29 21:17:00,lenta.ru
8,Собчак потроллила Харламова из-за откровенных сцен с его женой в кино,https://lenta.ru/news/2019/10/29/sobchak_harlamov/,2019-10-29 20:15:00,lenta.ru
9,Найдены сокровища «Исламского государства»,https://lenta.ru/news/2019/10/29/treasury/,2019-10-29 20:05:00,lenta.ru
