,title,href,date_time,source
0,Названы причины расстрела солдат сослуживцем в Забайкалье,https://lenta.ru/news/2019/10/29/version/,2019-10-29 23:05:00,lenta.ru
1,Турция отказалась от покупки российских Су-35,https://lenta.ru/news/2019/10/29/su35/,2019-10-29 22:54:00,lenta.ru
2,Семин раскрыл содержание разговора с Роналду после матча в Лиге чемпионов,https://lenta.ru/news/2019/10/29/semin/,2019-10-29 22:35:00,lenta.ru
3,Россияне осадили детский сад после избиения девочки на глазах у педагога,https://lenta.ru/news/2019/10/29/parents/,2019-10-29 22:20:00,lenta.ru
4,Российского рэпера обстреляли после концерта,https://lenta.ru/news/2019/10/29/rap/,2019-10-29 22:11:00,lenta.ru
5,В сеть утекла самая большая в истории база банковских карт,https://lenta.ru/news/2019/10/29/kartochki/,2019-10-29 22:02:00,lenta.ru
6,Профессор-филолог из ВШЭ оправдался за слова об убогом русском языке,https://lenta.ru/news/2019/10/29/guseinov/,2019-10-29 21:33:00,lenta.ru
7,Стало известно о проблемах со здоровьем у расстрелявшего сослуживцев солдата,https://lenta.ru/news/2019/10/29/soldat/,2019-10-29 21:17:00,lenta.ru
8,Собчак потроллила Харламова из-за откровенных сцен с его женой в кино,https://lenta.ru/news/2019/10/29/sobchak_harlamov/,2019-10-29 20:15:00,lenta.ru
9,Найдены сокровища «Исламского государства»,https://lenta.ru/news/2019/10/29/treasury/,2019-10-29 20:05:00,lenta.ru
10,Гарантированный пенсионный план: как работает новая система,https://news.mail.ru/economics/39285468/?frommail=1,2019-10-29 23:12:00,mail.ru
11,Стало известно о проблемах у расстрелявшего восьмерых солдата,https://news.mail.ru/incident/39286853/?frommail=1,2019-10-30 00:54:00,mail.ru
12,Совхоз им. Ленина отсудил у Грудинина более миллиарда рублей,https://news.mail.ru/incident/39281637/?frommail=1,2019-10-29 18:45:00,mail.ru
13,В России вступили в силу налоговые льготы для дачников,https://news.mail.ru/economics/39276028/?frommail=1,2019-10-29 16:13:00,mail.ru
14,Тест: Сможете ответить на вопросы географического диктанта?,https://news.mail.ru/society/39283332/?frommail=10,2019-10-29 19:51:00,mail.ru
15,"Кассиршу, обвиняемую в краже миллионов, нашли спустя десять лет",https://news.mail.ru/incident/39274690/?frommail=10,2019-10-29 17:11:00,mail.ru
16,Дело о хищениях при строительстве резиденции Путина засекретили,https://news.mail.ru/incident/39282827/?frommail=1,2019-10-29 19:08:00,mail.ru
17,В России предложили изменить подход к учету бедности,https://news.mail.ru/economics/39273342/?frommail=1,2019-10-29 08:17:00,mail.ru
18,При подготовке встречи военных России и Турции прогремел взрыв,https://news.mail.ru/incident/39283845/?frommail=1,2019-10-29 20:21:00,mail.ru
19,Роналду раскритиковал «Локомотив» за отказ играть в футбол,https://sportmail.ru/news/football-eurocups/39280302/?frommail=1,2019-10-29 17:03:00,mail.ru
20,Ни к селу: количество моногородов могут сократить вдвое,https://news.mail.ru/economics/39272851/?frommail=1,2019-10-29 12:06:00,mail.ru
21,"Трамп показал фото собаки, участвовавшей в ликвидации лидера ИГ",https://news.mail.ru/politics/39277957/?frommail=10,2019-10-29 16:29:00,mail.ru
22,"В мозге человека нашли области, отвечающие за веру и правду",https://news.mail.ru/society/39284690/?frommail=10,2019-10-29 22:13:00,mail.ru
23,Российскому боксеру присвоен статус суперчемпиона мира,https://sportmail.ru/news/boxing/39285533/,2019-10-29 22:28:00,mail.ru
24,«День жестянщика» совсем близко: на столицу идут снег и мороз,https://auto.mail.ru/article/75020-den_zhestyanshchika_sovsem_blizko_na_stolicu_idut_sneg_i_moroz/,2019-10-28 23:40:00,mail.ru
25,"Кончаловский, Высоцкая и Михалков на премьере «Греха» (фото)",https://kino.mail.ru/news/52359_konchalovskii_i_visotskaya_prezentovali_sovmstnii_film_v_rime/?from=mr_news,2019-10-29 14:20:00,mail.ru
